Ancestor and SUC? coculture was grown in liquid media containing sucrose as the carbon source. The co-culture was spread on YPD and YPD+Hygromycin plates. ,,,
The number of colonies on each plate was counted.,,,
,,,
,Set I,Set 2,Set 3
Number of colonies on YPD:,519,548,569
Number of colonies of YPD+Hygromycin (where only the cheater strain will grow):,147,139,154
