"Each sheet contains a column representing the intensity values from approximately 20,000 captured cells.",,,
"The 20,000 intensity values in each column were used to create histograms for each sample.",,,
,,,
,,,
,,,
,,,
Sc644,BY4741,BY4743 (control diploid),Hybrid
62881.48,36812.3,67200.4,92754.875
90456.09,36313.5,87177.77,89506.65
87604.33,73914.85,157659.94,79237.82
79666.1,79296.305,135418.19,135441.83
39020.78,33772.63,81711.61,86570.61
71410.1,84829.97,262143,79755.97
155890.05,34150.17,135477.1,127292.9
37228.54,35182.17,139019.86,130941.02
56035.45,48642.89,81113.914,148042.98
72231.83,47481.46,87200.99,76037.33
39512.7,115237.42,68406.984,84107.57
72129.06,81673.34,96687.65,217355.55
91681.164,37107.28,89145.88,127190.13
72102.4,72340.625,79761.13,107078.17
52767.883,75981.43,93747.74,52707.25
84670.875,82003.15,148011.6,95521.06
76827.24,71511.15,157694.77,160011.17
83158.99,80336.9,262143,87352.78
228062.11,36853.582,70238.78,139373.75
73505.49,81029.2,73813.805,158651.08
65682.07,69537.02,86290.25,84823.09
54457.35,68012.67,128444.445,139907.38
49281.87,41273.12,148813.97,75342.02
88947.22,42232.88,77468.375,136850.08
38139.71,41286.88,88367.15,6213.5
212644.89,71731.74,78359.76,140591.52
50055.44,42620.312,137795.22,91850.15
79983.44,74929.65,143878.44,59629.82
65388.812,79639.01,127156.59,56858.902
146170.33,63060.793,143312.55,137241.38
97775.555,34248.64,149208.28,201474.78
86252.414,84554.34,75126.59,167259.69
75819.32,38046.832,234959.75,127911.67
37801.3,227291.55,62079.96,96453.734
108560.81,34084.38,7645.83,151206.92
82660.19,37649.082,130367.4,86596.414
45111.3,71512.44,86874.195,145199.83
38955.42,69601.95,85420.36,130931.13
74726.69,37418.6,52246.29,83675.85
73550.21,82326.51,149707.08,86757.234
164435.02,54882.19,140041.55,150503.88
249535.03,42315.01,83768.734,95221.78
109158.08,87964.67,78625.5,76412.29
142778.06,49185.98,59587.68,3961.1602
41122.62,37629.73,257499.05,140253.53
80447.414,34581.03,167323.33,142239.7
46503.21,89797.33,136144.02,85751.03
59932.54,33593.75,132381.95,106530.35
83817.75,35826.742,91073.57,143475.52
133645.3,169544.7,73304.68,77514.38
39621.92,45424.34,75571.21,79220.19
38130.68,38895.652,123984.914,150012.81
74967.49,101777.56,72936.17,133516.3
54441.01,40874.51,133981.98,80855.914
43740.89,43153.082,79332.42,1142.0801
38438.562,36169.02,77814.52,82962.914
38985.09,72658.39,89950.84,131570.55
86267.03,67598.15,130907.914,80720.89
145524.05,29100.25,159183.86,137358.77
195291.81,44167.45,151645.52,74978.24
72112.29,85452.18,90494.79,79886.26
90581.22,82290.39,76008.09,141779.17
103849.305,46012.582,135301.22,142730.77
71183.49,49866.67,86060.63,147875.28
76296.625,85848.64,77413.33,91009.07
39644.28,70636.96,136485.02,138967.83
89366.9,142112.86,-299.28,154637.03
49227.26,65879.01,149657.2,153794.66
71513.734,41913.82,157568.34,88144.84
42547.21,103832.53,141018.94,75960.36
45580.86,45632.46,219878.36,147488.72
33225.67,121142.18,71233.375,138692.62
113017.766,46738.85,71567.914,138946.33
37720.46,73346.82,140496.9,137199.67
90155.09,36140.21,219033.83,71676.7
99343.33,41135.95,72252.9,93460.07
40647.902,39384.562,85491.74,111998.664
30532.15,77708.31,79155.26,134803.28
76917.97,76650.51,94873.055,82397.89
98042.15,79906.04,65661.43,156395.3
67685.44,72596.04,13612.94,140975.08
67068.39,39022.07,89595.234,94558.72
146477.78,67112.68,82024.22,72670.86
68665.414,71721.42,88326.305,146273.53
38650.12,69511.65,78105.63,83307.34
76281.57,39948.72,85267.71,84134.234
80664.56,71659.07,91133.34,177648.9
48038.312,70616.75,68907.93,132495.9
34158.77,35124.12,77224.56,136534.47
87470.17,37085.78,57088.09,91252.45
5075.29,41459.742,82661.914,141419.69
61019.582,67133.32,216605.19,90048.45
66185.6,44734.19,142472.33,90029.96
62262.71,36507,153049.9,59708.51
83891.28,92259.08,172439.89,95107.4
86564.59,36642.45,142294.31,71998.34
42097,46125.67,83720.14,84510.484
88860.36,71153.39,74442.46,84547.46
45042.93,33697.38,137643.44,143227.84
51879.93,37630.59,136321.61,132564.27
53363,40285.41,76098.82,74120.82
136509.52,82406.49,144263.72,83592
93766.664,28443.64,147744.56,98687.15
78091.44,29825.23,137686.86,245620.73
46360.88,39703.19,151231.44,91807.15
40405.38,41379.332,75946.17,5910.7803
87306.77,78035.11,226295.67,76371.875
89847.64,38898.66,74777.86,103901.766
68180.375,48163.01,67864.75,64458.293
94245.25,43466.55,78162.82,131789.84
62476.42,46900.1,92554.92,74417.95
84559.5,33824.23,82393.59,70536.77
178887.75,53463.62,80994.805,140644.4
39692.01,34178.12,262143,99173.484
69973.47,63623.66,93849.65,73155.47
74713.79,67856.58,141966.22,93817.83
40068.26,72396.09,147896.78,165461.42
140840.05,73243.19,135855.06,83673.7
91280.83,43215.43,63499.82,884.94
46123.95,82069.805,76494.42,64523.652
44425.45,36163.86,91009.07,68547.164
92069.45,46262.41,87289.57,87018.24
42579.46,98224.47,64000.34,73219.11
31131.14,43927.94,165845.4,147215.23
190438.83,32430.6,153065.38,126061.81
70341.984,38077.36,132977.08,84983.914
76159.02,70910.44,100119.484,133953.61
69840.17,57115.18,85145.59,152592.81
73314.14,35460.38,79986.88,89653.28
83909.77,47752.79,172831.19,159583.75
74647.57,32090.47,78759.234,82136.88
68533.4,144816.69,83199.84,146354.38
57128.51,66006.29,141788.2,81735.26
74494.92,62414.5,186023.16,85136.56
41078.332,88821.234,162636.33,92717.89
50533.6,41074.03,92566.53,69531
76172.78,49387.223,144273.17,149551.42
86092.45,52063.973,73651.69,141377.98
262143,51757.812,92907.95,157074.27
69609.26,71950.61,80166.625,156764.25
119068.29,44285.7,157945.02,84815.35
98008.61,32556.16,72188.4,9534.82
71981.57,69846.19,157670.69,69128.95
225287.75,69698.27,164797.5,98231.78
53200.46,74574.47,155865.11,152693
39483.89,77045.25,148555.11,53860.082
88679.76,30841.32,101325.2,135488.27
72195.28,78751.49,7020.6104,133381.27
71533.94,41634.75,96592.195,90512.42
93074.36,29421.46,143828.12,236017.55
39771.992,85039.38,79154.83,86302.29
64334.02,35484.46,83392.914,96840.734
45982.48,33625.57,79678.57,62337.96
84555.63,75959.07,148098.88,146283
82301.14,28258.31,78018.34,153191.8
64300.91,41984.77,105635.09,158482.52
59187.35,70958.6,49379.91,131346.08
67646.31,80285.305,217904.66,78093.59
38865.55,41835.13,80802.59,81857.81
112537.88,23153.35,137668.8,78648.72
164122.4,46932.78,4248.83,64483.66
62931.36,33368.43,70977.52,93413.2
81162.93,29690.21,67459.26,-149.64
79881.53,51526.04,82860.57,77315.29
52453.98,42692.55,167046.83,117795.49
64235.12,36247.28,137773.72,97468.1
73872.71,44858.03,70922.484,80515.35
64274.68,66934.234,312.61002,73676.2
36286.84,50899.96,83239.4,72110.14
72536.7,78439.31,69859.09,150009.38
53510.062,49864.95,90277.64,151780.11
76425.625,35453.07,95282.414,74313.46
48304.48,39475.29,79747.375,82960.76
80369.15,41566.38,2541.3,260437.25
68409.56,76298.34,137872.62,152132.72
49416.46,44562.62,94593.555,69157.76
115560.35,140259.98,131205.9,215254.14
75288.27,45063.57,148995,63795.23
90297.42,34206.07,79221.914,89854.95
4557.5703,88479.38,73259.96,92790.56
70445.18,54111.2,106797.38,148924.05
87418.57,128122.375,114719.27,113664.055
37558.78,75203.13,143131.1,154339.05
78274.625,74401.18,149006.19,132568.58
71392.9,68275.4,140607,83936.43
152383.83,40299.6,138724.02,93902.54
125579.78,69379.21,137363.94,167371.9
51730.29,37296.05,135050.11,78255.27
108117.055,47040.71,157784.62,165169.45
118253.875,78226.46,-306.59,132576.31
40969.54,44638.73,65322.59,153982.14
69141.85,86347.875,65236.16,149962.08
36260.61,31033.1,102064.805,85189.45
76541.72,49406.57,74396.88,74386.13
72704.4,50250.23,144158.8,67789.93
70269.31,56643.902,39667.07,74516.42
85675.35,43387.86,80661.555,155818.67
85532.164,37016.55,73192.45,77148.45
60633.01,41280.86,66730.414,91462.72
81663.02,74923.2,86843.664,76389.93
41562.082,26856.51,153374.55,76962.69
92192.43,120900.52,132735.84,146833.39
63574.64,43768.41,81600.24,78064.35
75172.6,37468.91,127285.59,141180.61
78760.95,109611.734,88530.984,1017.38
69081.65,67906.89,78002.86,79790.805
130874.805,80924.71,80860.21,84880.71
83545.56,63872.633,91494.97,86702.625
33530.11,39409.5,142576.83,72553.04
65742.27,40469.45,162899.9,138611.8
64143.1,47660.77,79647.61,78422.97
82078.4,67325.96,69194.31,138682.31
47419.973,41862.652,171626.33,142425.47
70188.47,48697.07,81182.71,80281.43
33908.082,96227.555,132657.16,147248.34
61222.11,70656.74,76807.03,77604.68
85628.914,32791.37,153282.53,77871.28
38923.6,41749.992,79350.055,145199.83
73646.1,132251.66,84604.65,-734.44
77796.89,82234.92,73410.03,75105.52
14290.19,81346.54,143668.6,141694.03
80301.21,73125.375,45429.93,140545.5
88565.38,35452.64,152717.52,129361.63
95027.42,38572.72,164875.33,147770.8
41742.68,46433.12,92815.07,146831.25
81901.67,39401.76,145416.11,77554.805
70653.734,40218.76,81539.61,82056.9
74169.414,76398.53,159801.33,82950.01
84786.11,74763.67,70099.03,136973.5
47561.87,111604.35,84083.92,74436.44
185497.27,34070.62,72966.27,72886.29
62998.01,75174.32,76771.34,135079.77
71920.08,48787.8,68932.44,143748.14
86491.49,46600.82,83421.29,80636.18
39080.55,33117.312,82576.34,83336.15
43311.32,80562.65,153564.61,70967.2
34386.67,81350.84,88218.805,135944.08
129291.54,86301,74902.99,123968.14
85394.99,122532.375,138265.64,127957.68
46975.78,72353.09,85121.945,149262.03
72134.22,150738.22,79172.03,82256.85
36927.97,44386.32,96374.18,73428.95
81610.56,80289.17,146360.83,68385.055
39500.66,89325.195,78283.65,138830.23
40378.72,62901.26,50713.77,77080.51
83959.22,75306.76,143411.45,114528.35
40931.27,70163.1,93339.67,152339.11
71650.04,44897.59,146240.86,83815.6
57678.48,38829,248249.33,79680.72
89805.5,50222.28,96334.195,222067.05
65674.33,74268.31,144182.44,135898.06
95924.4,44210.88,88710.29,83695.2
102188.21,93201.64,151276.16,76429.92
60568.94,39516.57,76505.6,152662.05
61700.7,45550.76,134734.48,262143
44831.8,40978.14,69137.984,83206.72
62460.082,53129.94,130613.79,99093.07
78858.13,36983.87,81676.35,90529.195
154547.6,137187.2,147721.34,135419.05
69840.6,79720.28,147610.4,81727.52
64525.8,106939.71,76680.61,61850.34
65200.902,81144.01,155509.5,111513.195
86304.445,75548.42,158788.69,149297.72
30989.67,40702.51,152681.39,139122.62
86689.29,35092.73,157310.77,95119.01
101069.78,41065,86378.4,180979.27
31291.531,40543.84,77805.92,152459.52
94188.49,77854.94,74438.164,111848.59
100110.45,33396.812,84999.39,85643.1
120925.03,38414.91,58050.86,126737.77
70620.19,45054.973,87815.03,97218.27
107230.39,44419.86,180316.2,75137.34
28502.121,74100.61,50649.7,87512.74
77499.33,48553.02,147337.78,80805.17
64069.57,40929.12,53481.68,84174.65
38957.57,40881.82,153592.56,130881.68
68771.625,207994.44,65435.25,180382.86
47819.87,45355.54,130874.805,146456.28
685.42,79946.46,131515.94,86854.414
117957.6,40989.32,146464.88,83496.11
32057.361,36362.09,73459.055,69588.19
16560.59,83401.51,143362,70718.234
93169.82,84018.13,93966.18,2907.23
88188.27,69717.19,3076.22,100549.484
42743.29,48181.5,82781.45,152803.52
83638.44,62795.48,172142.77,75764.28
93732.26,77151.46,142105.97,83011.93
41221.09,72455,77110.18,72896.18
47935.54,45231.7,138883.55,75658.07
36887.55,48343.18,67060.65,78214.85
54156.78,74310.88,219883.94,130980.15
85550.22,41845.88,78112.51,126209.305
15030.221,34141.57,79608.055,70081.83
52348.633,89966.32,84756.01,146648.5
50431.69,67296.29,89642.1,140332.66
69041.664,47649.16,84976.17,117982.97
50601.11,64312.52,150455.28,68314.53
79411.97,72117.02,79826.49,133359.77
47543.38,47850.832,141099.77,131749.86
62006.43,41067.152,71687.45,137627.52
94903.58,50099.73,2230.4102,87649.484
54911.43,44132.19,159502.48,87734.625
36172.46,37948.36,72087.78,81875.44
80452.14,35502.95,75919.08,107499.14
48970.55,77301.1,90611.32,61340.36
33642.34,45431.223,71388.6,75618.51
30327.041,35959.61,132736.27,83588.56
48825.21,42437.562,59363.652,147540.31
138102.67,42459.92,73410.89,100171.51
72663.984,37367.43,77924.17,67160.414
83085.03,35539.93,87274.09,128467.664
58192.332,36219.76,12604.16,71563.61
39999.89,37788.832,83657.79,106683.86
76357.68,79222.34,131285.45,262143
142750.97,39498.51,156864.86,144283.92
88303.51,78458.664,131116.89,78104.34
35725.26,38758.91,90148.64,69346.53
262143,42830.582,78463.82,141494.52
43248.54,33817.78,92275.85,224340.03
77996.84,40921.812,134104.53,128926.9
88659.555,39812.84,87433.625,165689.33
140519.7,41144.12,80328.305,75057.36
78681.83,44296.88,156227.61,86332.82
42231.16,33749.84,72436.08,70197.07
48196.55,78928.22,82259.43,95958.375
102755.38,41708.28,145256.58,91983.88
58775.84,44872.223,82413.375,146024.56
33362.84,48108.832,135744.55,87227.22
84329.45,75142.5,171241.48,80554.914
3389.69,35934.242,137966.8,231213.16
44430.18,45182.25,76220.94,167629.05
37098.68,68531.25,66987.125,129865.59
85998.28,83012.36,138235.97,35900.7
66960.03,46843.77,141378.4,83922.24
262143,53528.12,70784.88,82740.17
51599.57,73250.07,84921.13,71866.33
70232.33,45474.652,149203.55,70335.1
35392.87,33633.312,132830.44,135552.34
81575.305,42092.7,73695.125,135030.75
31567.16,65225.84,148995.44,125403.914
94444.77,72283.43,140597.11,142481.36
53245.61,75725.58,81482.85,131425.2
47634.11,42036.37,245122.36,107772.195
70120.96,104276.29,85839.61,108597.36
102139.195,45529.69,142631.44,122359.945
127418.03,133157.25,80864.51,43249.402
121448.34,46719.07,77229.29,85512.38
110131.17,75598.734,83109.11,71579.52
39127.85,83708.53,74033.96,100481.97
54207.95,76659.54,78073.38,149478.75
82083.56,69838.02,78653.45,69316.43
38605.402,35446.19,68605.64,137217.3
84264.52,73855.08,89396.14,79607.19
92435.81,36937.43,97053.15,81936.5
71882.67,66575.61,77412.47,78051.02
3766.8,37914.82,144712.62,11579.04
80738.52,47631.53,28180.48,84878.99
80422.47,40883.11,78083.7,128020.46
79822.625,78142.18,140632.8,135093.11
72391.79,29169.91,129701.336,117414.08
78455.65,79834.664,262143,68302.92
66348.57,32190.23,153918.5,135746.27
40146.95,76192.56,72525.95,88601.07
92369.59,30720.92,141682,72344.49
39955.6,32801.69,160218.44,158800.72
73699.85,73469.375,133960.9,77391.4
42606.12,43583.51,72694.51,77406.45
2644.07,58584.062,858.28,97010.15
188759.25,78449.2,91014.664,135703.7
68632.734,86081.27,85538.61,142415.58
41606.8,85238.9,81725.375,68782.805
63592.7,146847.58,22920.72,88125.49
39465.832,75965.52,79310.06,201126.05
76291.03,82327.375,86586.52,98944.72
78928.65,48192.68,166540.3,138099.23
44603.04,44706.67,144466.25,1361.81
87012.65,83880.1,140818.98,69975.625
40476.76,50846.21,116332.2,90755.805
84780.52,52193.832,134946.47,143703
35772.992,35085.42,73654.7,2879.28
183564,34901.812,174649.23,156974.08
66956.164,89340.24,150233.4,89043.54
156623.2,87930.27,94791.35,135439.25
87914.79,48880.68,90084.57,86678.11
53425.35,119228.68,90415.67,141885.81
96491.14,80300.35,67998.055,141047.31
88713.305,44060.38,83306.055,111689.49
45116.89,49911.82,249548.36,148251.97
85699,71019.664,80446.984,262143
191363.77,40891.71,121827.17,116239.32
97145.17,39981.402,74042.99,84224.1
47324.082,75194.1,92624.58,85693.84
44675.28,70117.95,106738.47,83604.47
80468.914,103909.93,79915.5,129594.266
58316.17,86740.03,75188.51,161698.5
49298.64,67193.95,158381.05,146742.66
69498.32,31244.23,121306.445,78342.56
41212.062,66412.64,91141.08,227655.77
80689.5,30683.941,73566.555,91705.67
38819.97,35815.13,161345.47,147400.56
30571.281,71597.15,136477.27,127697.96
29476.93,34533.73,139421.05,141452.8
80934.17,38994.55,141777.45,69970.46
155219.25,34856.23,75868.77,176599.72
88784.68,37857.63,87955.21,75215.6
117515.56,121597.984,93134.13,52292.3
80020.42,79234.38,135714.45,218618.03
40902.89,84559.5,80701.11,142065.98
66051.44,39202.242,131712.44,90450.93
204471.45,40111.26,94828.33,149538.95
75393.19,42023.04,83873.22,82977.96
75821.04,51514.43,84566.38,150250.17
77569.85,79379.29,152428.98,82765.97
68152.42,32711.82,138950.2,82555.27
182302.38,44640.02,129361.2,89013.875
51247.832,43590.39,92753.58,82473.14
76254.484,45172.36,44340.312,66849.95
57734.812,67919.79,70093.44,149273.64
67899.58,69873.28,146405.11,154460.73
83784.21,64395.94,81618.305,79579.24
73084.09,91276.1,80597.484,2825.1
77869.99,76125.484,72768.04,89779.7
56779.35,66232.9,141190.5,254864.44
111423.32,71314.64,81522.414,103208.17
72982.61,51719.973,140467.25,164852.97
63445.21,46999.86,75064.24,85417.35
40157.7,39428.42,83877.52,124362.02
94960.77,40852.152,160222.3,146816.62
38717.63,81920.164,155034.36,131978.61
164884.36,71299.59,130083.17,75789.22
64735.21,75724.29,104464.2,87778.914
102846.54,87526.5,93187.02,73172.67
39322.21,78235.49,64717.582,89320.46
137646.44,79601.6,149812,77365.17
71987.59,73490.01,67140.63,78971.22
77599.52,73876.15,83279.82,71997.055
87259.47,43274.34,85593.65,135980.19
72141.1,112032.2,77164.79,6698.1104
77666.17,39765.97,149850.27,78875.76
3144.1602,44337.3,78783.31,87833.52
47654.32,113409.92,1307.63,80271.97
55716.82,70519.57,262143,128151.61
37141.25,72596.9,67427.44,86871.18
47793.64,63097.77,131434.23,65820.53
75913.49,33251.04,77588.34,-641.99
37835.27,43767.55,82255.13,80354.96
42064.75,41177.23,76600.2,81083.38
74248.1,42413.48,151960.28,150282.42
76862.07,45419.18,36529.79,75204.85
65718.19,30867.121,85316.734,140892.08
73824.984,44478.77,135033.77,137956.47
57259.23,97297.82,137307.17,148309.58
79485.93,39201.38,71326.68,165413.27
66999.59,41509.62,160479.88,3606.84
60307.93,30572.14,75056.5,98585.24
84505.32,44454.69,83935.57,132051.72
71766.57,83925.68,17963.25,138941.17
71168.875,45478.52,146545.72,129602.43
87082.31,35379.11,5932.71,147623.73
51098.62,76755.43,78212.7,76683.19
71379.57,67163.42,81352.13,88724.055
82736.734,69481.125,137025.95,63757.82
74399.46,66964.76,147995.25,254657.61
83861.18,48798.12,5097.22,143307.39
44131.76,42177.41,75599.59,95466.02
95112.99,69942.08,72920.69,69853.93
67559.45,44180.35,91298.03,229649.25
31285.51,69160.34,81864.26,83614.79
166283.16,46539.332,91233.53,100597.21
68268.52,45856.062,94298.14,145681.86
81340.52,228222.5,99540.27,1037.59
66708.484,75616.36,81232.59,155818.25
75283.11,73295.22,70373.375,-59.77
40100.082,46028.062,146402.97,883.22003
87259.47,54429.402,121005.875,78974.234
80160.17,38662.59,68103.4,186882.73
71395.055,74223.164,74264.875,139413.75
84524.67,88631.17,86205.54,165243.4
42018.312,34562.11,62470.832,159395.4
80297.77,44323.11,128240.625,49994.812
162802.3,37477.51,83019.67,82243.09
172015.9,77507.07,149569.9,2508.19
108400.42,44964.67,70222.44,86709.07
80659.4,42157.63,71781.625,76558.92
94854.13,42921.742,254415.1,145776.45
88632.89,40877.09,156814.12,155680.64
196068.83,84010.39,140377.8,139679.9
73597.51,80624.14,98148.79,80234.56
34553.51,116683.945,95981.164,128606.555
71784.2,101549.234,64503.44,128839.61
86898.7,34055.14,71048.04,160204.67
